Source,BB L2,G-LR @ L16,WB - BB
open_book_qa,0.648952225750276,0.808969560021165,0.16001733427088904
arc_easy,0.6790521705915774,0.8201573001538724,0.14110512956229504
imdb,0.5795176621291915,0.7011692463555433,0.1216515842263518
got_larger_than,0.6439239793716292,0.749937895710653,0.1060139163390238
copa,0.7083397949309236,0.7877883156374864,0.07944852070656283
arc_challenge,0.7369557141355304,0.8002912042400335,0.06333549010450312
dbpedia_14,0.6601737503946377,0.7209693195585879,0.060795569163950236
commonsense_qa,0.7222726762536685,0.7229915503290459,0.000718874075377407
got_sp_en_trans,0.649614473223299,0.6458161801209463,-0.00379829310235269
got_cities,0.6559918466444163,0.637850987997476,-0.018140858646940372
amazon_polarity,0.8227512084622431,0.7682445361439146,-0.05450667231832851
race,0.7806217570536954,0.7070981386277679,-0.07352361842592747
rte,0.7329269151793587,0.6024440311278959,-0.1304828840514628
boolq,0.7350799270760159,0.6017780609172645,-0.1333018661587514
ag_news,0.763935116995247,0.6042294122459392,-0.1597057047493078
